json_field,section,meaning
incident_id,Identity,Operational incident identifier
session_id/start_time/end_time/duration_seconds,Identity,When the anomaly occurred
serving_cell_key/PCI/ECI/EARFCN/band,Cell,Serving cell identity for RCA
approximate_location.*,Map,Median anomaly-observation coordinate and P90 observation spread; not tower location
detection_case,Detection,Primary anomaly/context case; not a final root cause
planning_relevance.*,Planning,Coverage/planning review flag for radio-limited incidents
priority/impact/confidence/severity,Ranking,Why RCA should review this incident first
requires_human_review,Governance,True for balanced supervised ML-only anomalies
throughput.*,Impact,"Actual, expected, comparison-source, gap, and local-drop evidence"
cell_performance_context.*,Cell ranking,Cell/PCI badness ranks and compact KPI context
radio_kpis.*,Radio evidence,RSRP/RSRQ/SINR/CQI/MCS/BLER
resource_kpis.*,Resource evidence,RB demand and throughput efficiency
ca_context.*,CA evidence,Carrier aggregation and SCell context
statistical_evidence.*,Detector evidence,P10/IQR/MAD/temporal/P75/RB-efficiency/radio evidence
production_ml_evidence.*,ML evidence,Selected production HGB/Q75 evidence; LSTM and Isolation Forest excluded
